Any,Categoria,Peli,Nominat,Guanyador,CategoriaNet,NominatNom,Sexe
2014,Best Short Film (Millor Curtmetratge),Sequence,Carles Torrens,FALSE,Millor Curtmetratge,Carles,Home
2014,Best Short Film (Millor Curtmetratge),Wings,José Villalobos,FALSE,Millor Curtmetratge,Jose,Home
2014,Best Cinematography (Millor Fotografia),Historia de mi muerte,Jimmy Gimferrer,FALSE,Millor Fotografia,Jimmy,Home
2014,Best Sound (Millor So),Los últimos días,Oriol Tarragó,TRUE,Millor So,Oriol,Home
2014,Best Sound (Millor So),Los últimos días,David Calleja,TRUE,Millor So,David,Home
2014,Best Sound (Millor So),El cuerpo,Albert Manera,FALSE,Millor So,Albert,Home
2014,Best Sound (Millor So),El cuerpo,Oriol Tarragó,FALSE,Millor So,Oriol,Home
2014,Best Sound (Millor So),El cuerpo,David Calleja,FALSE,Millor So,David,Home
2014,Best Sound (Millor So),Grand Piano,Albert Manera,FALSE,Millor So,Albert,Home
2014,Best Sound (Millor So),Grand Piano,James Muñoz,FALSE,Millor So,James,Home
2014,Best Sound (Millor So),Grand Piano,José A. Manovel,FALSE,Millor So,Jose,Home
2014,Best Sound (Millor So),Grand Piano,Albert Manera,FALSE,Millor So,Albert,Home
2014,Best Sound (Millor So),Grand Piano,James Muñoz,FALSE,Millor So,James,Home
2014,Best Sound (Millor So),Grand Piano,José A. Manovel,FALSE,Millor So,Jose,Home
2014,Best Sound (Millor So),Hijo de Caín,Albert Manera,FALSE,Millor So,Albert,Home
2014,Best Sound (Millor So),Hijo de Caín,Isaac Bonfill,FALSE,Millor So,Isaac,Home
2014,Best Sound (Millor So),Hijo de Caín,Óscar Grau,FALSE,Millor So,Oscar,Home
2014,Best Sound (Millor So),Hijo de Caín,Marc Orts,FALSE,Millor So,Marc,Home
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Los últimos días,Lluís Rivera,TRUE,Millors Efectes Visuals,Lluis,Home
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Los últimos días,Pablo Perona,TRUE,Millors Efectes Visuals,Pablo,Home
2015,Best Cinematography (Millor Fotografia),Stella cadente,Jimmy Gimferrer,FALSE,Millor Fotografia,Jimmy,Home
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Los últimos días,Jon Aguirre,TRUE,Millors Efectes Visuals,Jon,Home
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Los últimos días,Manuel Ramírez,TRUE,Millors Efectes Visuals,Manuel,Home
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Los últimos días,Isidro Jiménez,TRUE,Millors Efectes Visuals,Isidro,Home
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),El cuerpo,Lluís Castells,FALSE,Millors Efectes Visuals,Lluis,Home
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),El cuerpo,Lluís Rivera,FALSE,Millors Efectes Visuals,Lluis,Home
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),El cuerpo,David Martí,FALSE,Millors Efectes Visuals,David,Home
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),El cuerpo,Montse Ribé,FALSE,Millors Efectes Visuals,Montse,Dona
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Grand Piano,Àlex Villagrasa,FALSE,Millors Efectes Visuals,Alex,Home
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Grand Piano,Raúl Romanillos,FALSE,Millors Efectes Visuals,Raul,Home
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Mamá,David Martí,FALSE,Millors Efectes Visuals,David,Home
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Mamá,Montse Ribé,FALSE,Millors Efectes Visuals,Montse,Dona
2014,Best TV-Movie (Millor Pel·lícula per a Televisió),Carta a Eva,Agustí Villaronga,TRUE,Millor Pel·lícula per a Televisió,Agusti,Home
2014,Best TV-Movie (Millor Pel·lícula per a Televisió),Carta a Eva,Alfred Pérez Fargas,TRUE,Millor Pel·lícula per a Televisió,Alfred,Home
2014,Best TV-Movie (Millor Pel·lícula per a Televisió),Carta a Eva,Roger Danès,TRUE,Millor Pel·lícula per a Televisió,Roger,Home
2014,Best TV-Movie (Millor Pel·lícula per a Televisió),"Concepción Arenal, la visitadora de cárceles",Laura Mañá,FALSE,Millor Pel·lícula per a Televisió,Laura,Dona
2019,Best Film (Millor Pel·lícula),Las distancias,Josan Hatero,TRUE,Millor Pel·lícula,Josan,Home
2014,Best TV-Movie (Millor Pel·lícula per a Televisió),Desclassificats,Abel Folk,FALSE,Millor Pel·lícula per a Televisió,Abel,Home
2014,Best TV-Movie (Millor Pel·lícula per a Televisió),Desclassificats,Joan Riedweg,FALSE,Millor Pel·lícula per a Televisió,Joan,Home
2014,Best TV-Movie (Millor Pel·lícula per a Televisió),Desclassificats,Pere Riera,FALSE,Millor Pel·lícula per a Televisió,Pere,Home
2014,Best TV-Movie (Millor Pel·lícula per a Televisió),Olor de colònia,Lluís Maria Güell,FALSE,Millor Pel·lícula per a Televisió,Lluis,Home
2014,Best TV-Movie (Millor Pel·lícula per a Televisió),Olor de colònia,Toni Cabré,FALSE,Millor Pel·lícula per a Televisió,Toni,Home
2014,Best TV-Movie (Millor Pel·lícula per a Televisió),Olor de colònia,Laia Aguilar,FALSE,Millor Pel·lícula per a Televisió,Laia,Dona
2014,Best TV-Movie (Millor Pel·lícula per a Televisió),Olor de colònia,Anna Fité,FALSE,Millor Pel·lícula per a Televisió,Anna,Dona
2015,Best Animated Feature (Millor Pel·lícula d'Animació),Mortadelo y Filemón contra Jimmy el Cachondo,Javier Fesser,TRUE,Millor Pel·lícula d'Animació,Javier,Home
2019,Best Screenplay (Millor Guió),Las distancias,Josan Hatero,FALSE,Millor Guió,Josan,Home
2015,Best Animated Feature (Millor Pel·lícula d'Animació),Mortadelo y Filemón contra Jimmy el Cachondo,Cristóbal Ruiz,TRUE,Millor Pel·lícula d'Animació,Cristobal,Home
2015,Best Animated Feature (Millor Pel·lícula d'Animació),La Tropa de Trapo en la Selva del Arcoíris,Alex Colls,FALSE,Millor Pel·lícula d'Animació,Alex,Home
2015,Best Animated Feature (Millor Pel·lícula d'Animació),La Tropa de Trapo en la Selva del Arcoíris,Lola Beccaria,FALSE,Millor Pel·lícula d'Animació,Lola,Dona
2015,Best Art Direction (Millor Direcció Artística),Stella cadente,Sebastián Vogler,TRUE,Millor Direcció Artística,Sebastian,Home
2015,Best Art Direction (Millor Direcció Artística),El Niño,Antón Laguna,FALSE,Millor Direcció Artística,Anton,Home
2015,Best Art Direction (Millor Direcció Artística),Rastros de sándalo,Anna Pujol Tauler,FALSE,Millor Direcció Artística,Anna,Dona
2015,Best Art Direction (Millor Direcció Artística),[REC] 4: Apocalipsis,Javier Alvariño,FALSE,Millor Direcció Artística,Javier,Home
2015,Best Cinematography (Millor Fotografia),El Niño,Carles Gusi,TRUE,Millor Fotografia,Carles,Home
2015,Best Cinematography (Millor Fotografia),Hermosa juventud,Pau Esteve Birba,FALSE,Millor Fotografia,Pau,Home
2017,Best Short Film (Millor Curtmetratge),Timecode,Juanjo Giménez Peña,TRUE,Millor Curtmetratge,Juanjo,Home
2015,Best Cinematography (Millor Fotografia),[REC] 4: Apocalipsis,Pablo Rosso,FALSE,Millor Fotografia,Pablo,Home
2015,Best Costume Design (Millor Vestuari),Stella cadente,Mercè Paloma,TRUE,Millor Vestuari,Merce,Dona
2014,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Los últimos días,Juanma Nogales,TRUE,Millors Efectes Visuals,Juanma,Home
2015,Best Costume Design (Millor Vestuari),Born,Elena Ballester i Suñé,FALSE,Millor Vestuari,Elena,Dona
2015,Best Costume Design (Millor Vestuari),Rastros de sándalo,Anna Güell,FALSE,Millor Vestuari,Anna,Dona
2015,Best Documentary (Millor Pel·lícula Documental),Gabor,Sebastián Alfie,TRUE,Millor Pel·lícula Documental,Sebastian,Home
2015,Best Documentary (Millor Pel·lícula Documental),Gabor,Pedro Loeb,TRUE,Millor Pel·lícula Documental,Pedro,Home
2015,Best Documentary (Millor Pel·lícula Documental),Gabor,Albert Solé,TRUE,Millor Pel·lícula Documental,Albert,Home
2015,Best Documentary (Millor Pel·lícula Documental),Bugarach,Ventura Durall,FALSE,Millor Pel·lícula Documental,Ventura,Home
2015,Best Documentary (Millor Pel·lícula Documental),Bugarach,Sergi Cameron,FALSE,Millor Pel·lícula Documental,Sergi,Home
2015,Best Documentary (Millor Pel·lícula Documental),Bugarach,Salvador Sunyer,FALSE,Millor Pel·lícula Documental,Salvador,Home
2015,Best Documentary (Millor Pel·lícula Documental),Los Años Salvajes,Ventura Durall,FALSE,Millor Pel·lícula Documental,Ventura,Home
2018,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Tierra firme,Jules Nurrish,TRUE,Millor Pel·lícula en llengua no catalana,Jules,Dona
2015,Best European Film (Millor Pel·lícula Europea),La gran belleza,Paolo Sorrentino,TRUE,Millor Pel·lícula Europea,Paolo,Home
2018,Best Screenplay (Millor Guió),Tierra firme,Jules Nurrish,FALSE,Millor Guió,Jules,Dona
2015,Best Documentary (Millor Pel·lícula Documental),Seré asesinado,Justin Webster,FALSE,Millor Pel·lícula Documental,Justin,Home
2015,Best European Film (Millor Pel·lícula Europea),Ida,Rebecca Lenkiewicz,FALSE,Millor Pel·lícula Europea,Rebecca,Dona
2015,Best European Film (Millor Pel·lícula Europea),La isla mínima,Alberto Rodríguez,FALSE,Millor Pel·lícula Europea,Alberto,Home
2015,Best European Film (Millor Pel·lícula Europea),La isla mínima,Rafael Cobos,FALSE,Millor Pel·lícula Europea,Rafael,Home
2015,Best European Film (Millor Pel·lícula Europea),Magical Girl,Carlos Vermut,FALSE,Millor Pel·lícula Europea,Carlos,Home
2015,Best Female Lead (Millor Protagonista Femenina),10.000 Km,Natalia Tena,TRUE,Millor Protagonista Femenina,Natalia,Dona
2015,Best Female Lead (Millor Protagonista Femenina),Hermosa juventud,Ingrid García Jonsson,FALSE,Millor Protagonista Femenina,Ingrid,Dona
2015,Best Female Lead (Millor Protagonista Femenina),Rastros de sándalo,Aina Clotet,FALSE,Millor Protagonista Femenina,Aina,Dona
2015,Best Female Lead (Millor Protagonista Femenina),Stella cadente,Bárbara Lennie,FALSE,Millor Protagonista Femenina,Barbara,Dona
2016,Best Documentary (Millor Pel·lícula Documental),"Gabo, la creación de Gabriel García Márquez",Justin Webster,TRUE,Millor Pel·lícula Documental,Justin,Home
2015,Best Film Editing (Millor Muntatge),10.000 Km,Juliana Montañés,FALSE,Millor Muntatge,Juliana,Dona
