Any,Categoria,Peli,Nominat,Guanyador,CategoriaNet,NominatNom,Sexe
2015,Best TV-Movie (Millor Pel·lícula per a Televisió),Vicente Ferrer,Agustín Crespi,FALSE,Millor Pel·lícula per a Televisió,Agustin,Home
2015,Best TV-Movie (Millor Pel·lícula per a Televisió),Vicente Ferrer,David Planell,FALSE,Millor Pel·lícula per a Televisió,David,Home
2015,Best TV-Movie (Millor Pel·lícula per a Televisió),Vicente Ferrer,Patrick Buckley,FALSE,Millor Pel·lícula per a Televisió,Patrick,Home
2016,Best Animated Feature (Millor Pel·lícula d'Animació),Atrapa la bandera,Enrique Gato,TRUE,Millor Pel·lícula d'Animació,Enrique,Home
2016,Best Animated Feature (Millor Pel·lícula d'Animació),Atrapa la bandera,Jordi Gasull,TRUE,Millor Pel·lícula d'Animació,Jordi,Home
2016,Best Animated Feature (Millor Pel·lícula d'Animació),Atrapa la bandera,Javier López Barreira,TRUE,Millor Pel·lícula d'Animació,Javier,Home
2019,Best Original Score (Millor Música Original),Entre dos aguas,Kiko Veneno,TRUE,Millor Música Original,Kiko,Home
2013,Best Sound (Millor So),Las aventuras de Tadeo Jones,Kiku Vidal,FALSE,Millor So,Kiku,Home
2016,Best Art Direction (Millor Direcció Artística),El rey de La Habana,Alain Ortiz,FALSE,Millor Direcció Artística,Alain,Home
2016,Best Art Direction (Millor Direcció Artística),Nadie quiere la noche,Alain Bainée,FALSE,Millor Direcció Artística,Alain,Home
2016,Best Art Direction (Millor Direcció Artística),Truman,Irene Montcada,FALSE,Millor Direcció Artística,Irene,Dona
2016,Best Cinematography (Millor Fotografia),El rey de La Habana,Josep M. Civit,TRUE,Millor Fotografia,Josep,Home
2016,Best Cinematography (Millor Fotografia),Anacleto: Agente secreto,Arnau Valls Colomer,FALSE,Millor Fotografia,Arnau,Home
2016,Best Cinematography (Millor Fotografia),Palmeras en la nieve,Xavi Giménez,FALSE,Millor Fotografia,Xavi,Home
2016,Best Cinematography (Millor Fotografia),Truman,Andreu Rebés,FALSE,Millor Fotografia,Andreu,Home
2016,Best Costume Design (Millor Vestuari),El rey de La Habana,María Gil,TRUE,Millor Vestuari,Maria,Dona
2016,Best Costume Design (Millor Vestuari),El rey de La Habana,Sonia Segura,TRUE,Millor Vestuari,Sonia,Dona
2016,Best Costume Design (Millor Vestuari),Anacleto: Agente secreto,Cristina Rodríguez,FALSE,Millor Vestuari,Cristina,Dona
2016,Best Costume Design (Millor Vestuari),La novia,Arantxa Ezquerro,FALSE,Millor Vestuari,Arantxa,Dona
2016,Best Costume Design (Millor Vestuari),La novia,Miriam Doz,FALSE,Millor Vestuari,Miriam,Dona
2012,Best European Film (Millor Pel·lícula Europea),Melancolía,Lars von Trier,FALSE,Millor Pel·lícula Europea,Lars,Home
2017,Best European Film (Millor Pel·lícula Europea),El hijo de Saúl,László Nemes,FALSE,Millor Pel·lícula Europea,Laszlo,Home
2016,Best Documentary (Millor Pel·lícula Documental),Game Over,Alba Sotorra,TRUE,Millor Pel·lícula Documental,Alba,Dona
2016,Best Documentary (Millor Pel·lícula Documental),Game Over,Alba Sotorra,FALSE,Millor Pel·lícula Documental,Alba,Dona
2018,Best Original Score (Millor Música Original),La llamada,Leiva,FALSE,Millor Música Original,Leiva,Home
2016,Best Documentary (Millor Pel·lícula Documental),La Granja del Pas,Silvia Munt,FALSE,Millor Pel·lícula Documental,Silvia,Dona
2016,Best Documentary (Millor Pel·lícula Documental),La Granja del Pas,Raquel Cors,FALSE,Millor Pel·lícula Documental,Raquel,Dona
2016,Best Documentary (Millor Pel·lícula Documental),La Granja del Pas,Daniel Lacasa,FALSE,Millor Pel·lícula Documental,Daniel,Home
2016,Best Documentary (Millor Pel·lícula Documental),Un día vi 10.000 elefantes,Alex Guimerà,FALSE,Millor Pel·lícula Documental,Alex,Home
2016,Best Documentary (Millor Pel·lícula Documental),Un día vi 10.000 elefantes,Juan Pajares,FALSE,Millor Pel·lícula Documental,Juan,Home
2016,Best Documentary (Millor Pel·lícula Documental),Un día vi 10.000 elefantes,Pere Ortín,FALSE,Millor Pel·lícula Documental,Pere,Home
2016,Best Film Editing (Millor Muntatge),El camino más largo para volver a casa,Liana Artigal,FALSE,Millor Muntatge,Liana,Dona
2016,Best European Film (Millor Pel·lícula Europea),Fuerza mayor,Ruben Östlund,FALSE,Millor Pel·lícula Europea,Ruben,Home
2019,Best Film Editing (Millor Muntatge),Las distancias,Liana Artigal,FALSE,Millor Muntatge,Liana,Dona
2016,Best European Film (Millor Pel·lícula Europea),Pride,Stephen Beresford,FALSE,Millor Pel·lícula Europea,Stephen,Home
2014,Best Sound (Millor So),Los últimos días,Licio Marcos de Oliveira,TRUE,Millor So,Licio,Home
2016,Best Female Lead (Millor Protagonista Femenina),Victoria,Laia Costa,TRUE,Millor Protagonista Femenina,Laia,Dona
2016,Best Female Lead (Millor Protagonista Femenina),La adopción,Nora Navas,FALSE,Millor Protagonista Femenina,Nora,Dona
2009,Best Performance by an Actress in a Supporting Role (Millor interpretació femenina secundària),Diario de una ninfómana,Llum Barrera,FALSE,Millor Actriu Secundària,Llum,Dona
2016,Best Female Lead (Millor Protagonista Femenina),Techo y comida,Natalia de Molina,FALSE,Millor Protagonista Femenina,Natalia,Dona
2016,Best Film (Millor Pel·lícula),El camino más largo para volver a casa,Sergi Pérez,TRUE,Millor Pel·lícula,Sergi,Home
2016,Best Film (Millor Pel·lícula),El camino más largo para volver a casa,Eric Navarro,TRUE,Millor Pel·lícula,Eric,Home
2016,Best Film (Millor Pel·lícula),El camino más largo para volver a casa,Roger Padilla,TRUE,Millor Pel·lícula,Roger,Home
2016,Best Film (Millor Pel·lícula),"Barcelona, noche de invierno",Dani de la Orden,FALSE,Millor Pel·lícula,Dani,Home
2016,Best Film (Millor Pel·lícula),"Barcelona, noche de invierno",Eduard Sola,FALSE,Millor Pel·lícula,Eduard,Home
2016,Best Film (Millor Pel·lícula),"Barcelona, noche de invierno",Daniel González,FALSE,Millor Pel·lícula,Daniel,Home
2016,Best Film (Millor Pel·lícula),"Barcelona, noche de invierno",Eric Navarro,FALSE,Millor Pel·lícula,Eric,Home
2016,Best Film (Millor Pel·lícula),La adopción,Daniela Féjerman,FALSE,Millor Pel·lícula,Daniela,Dona
2016,Best Film (Millor Pel·lícula),La adopción,Alejo Flah,FALSE,Millor Pel·lícula,Alejo,Home
2016,Best Film (Millor Pel·lícula),Un día perfecto para volar,Marc Recha,FALSE,Millor Pel·lícula,Marc,Home
2016,Best Film Editing (Millor Muntatge),El rey de La Habana,Raúl Román,TRUE,Millor Muntatge,Raul,Home
2016,Best Film Editing (Millor Muntatge),Anacleto: Agente secreto,Alberto de Toro,FALSE,Millor Muntatge,Alberto,Home
2016,Best Film Editing (Millor Muntatge),"Barcelona, noche de invierno",Alberto Gutiérrez,FALSE,Millor Muntatge,Alberto,Home
2016,Best Costume Design (Millor Vestuari),Palmeras en la nieve,Loles García Galean,FALSE,Millor Vestuari,Loles,Dona
2016,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),Nadie quiere la noche,Pablo Perona,TRUE,Millor Maquillatge i Perruqueria,Pablo,Home
2018,Best Visual Effects (Millors Efectes Visuals),Incierta gloria,Lolo López Egea,TRUE,Millors Efectes Visuals,Lolo,Home
2010,Best European Film (Millor Pel·lícula Europea),Slumdog Millionaire,Loveleen Tandan,FALSE,Millor Pel·lícula Europea,Loveleen,Dona
2014,Best Make-Up and Hairstyles (Millor Maquillatge i Perruqueria),Historia de mi muerte,Lucho Soriano,FALSE,Millor Maquillatge i Perruqueria,Lucho,Home
2016,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),Anacleto: Agente secreto,Sergio Pérez Berbel,FALSE,Millor Maquillatge i Perruqueria,Sergio,Home
2016,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),El rey de La Habana,Ainhoa Eskisabel,FALSE,Millor Maquillatge i Perruqueria,Ainhoa,Dona
2016,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),La novia,Esther Guillem,FALSE,Millor Maquillatge i Perruqueria,Esther,Dona
2016,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),La novia,Pilar Guillem,FALSE,Millor Maquillatge i Perruqueria,Pilar,Dona
2016,Best Male Lead (Millor Protagonista Masculí),Truman,Ricardo Darín,TRUE,Millor Protagonista Masculí,Ricardo,Home
2016,Best Male Lead (Millor Protagonista Masculí),El camino más largo para volver a casa,Borja Espinosa,FALSE,Millor Protagonista Masculí,Borja,Home
2016,Best Male Lead (Millor Protagonista Masculí),La adopción,Francesc Garrido,FALSE,Millor Protagonista Masculí,Francesc,Home
2016,Best Male Lead (Millor Protagonista Masculí),Un día perfecto para volar,Sergi López,FALSE,Millor Protagonista Masculí,Sergi,Home
2016,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Truman,Cesc Gay,TRUE,Millor Pel·lícula en llengua no catalana,Cesc,Home
2016,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Truman,Tomàs Aragay,TRUE,Millor Pel·lícula en llengua no catalana,Tomas,Home
2016,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Anacleto: Agente secreto,Javier Ruiz Caldera,FALSE,Millor Pel·lícula en llengua no catalana,Javier,Home
2016,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Anacleto: Agente secreto,Fernando Navarro,FALSE,Millor Pel·lícula en llengua no catalana,Fernando,Home
2016,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Anacleto: Agente secreto,Pablo Alén,FALSE,Millor Pel·lícula en llengua no catalana,Pablo,Home
2016,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Anacleto: Agente secreto,Breixo Corral,FALSE,Millor Pel·lícula en llengua no catalana,Breixo,Home
2016,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),El rey de La Habana,Agustí Villaronga,FALSE,Millor Pel·lícula en llengua no catalana,Agusti,Home
2016,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),La novia,Paula Ortiz,FALSE,Millor Pel·lícula en llengua no catalana,Paula,Dona
2016,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),La novia,Javier García Arredondo,FALSE,Millor Pel·lícula en llengua no catalana,Javier,Home
2016,Best Original Score (Millor Música Original),El rey de La Habana,Joan Valent,TRUE,Millor Música Original,Joan,Home
2016,Best Original Score (Millor Música Original),"Barcelona, noche de invierno",Joan Dausà,FALSE,Millor Música Original,Joan,Home
2016,Best Original Score (Millor Música Original),La adopción,Xavier Capellas,FALSE,Millor Música Original,Xavier,Home
2016,Best Original Score (Millor Música Original),Truman,Nico Cota,FALSE,Millor Música Original,Nico,Home
2016,Best Production Manager (Millor Direcció de Producció),Anacleto: Agente secreto,Josep Amorós,TRUE,Millor Direcció de Producció,Josep,Home
2016,Best Production Manager (Millor Direcció de Producció),El rey de La Habana,Josep Amorós,FALSE,Millor Direcció de Producció,Josep,Home
2016,Best Production Manager (Millor Direcció de Producció),El rey de La Habana,Carla Jovine,FALSE,Millor Direcció de Producció,Carla,Dona
2016,Best Production Manager (Millor Direcció de Producció),Palmeras en la nieve,Toni Novella,FALSE,Millor Direcció de Producció,Toni,Home
2016,Best Production Manager (Millor Direcció de Producció),Truman,Isidro Terraza,FALSE,Millor Direcció de Producció,Isidro,Home
2016,Best Screenplay (Millor Guió),Truman,Cesc Gay,TRUE,Millor Guió,Cesc,Home
2016,Best Screenplay (Millor Guió),Truman,Tomàs Aragay,TRUE,Millor Guió,Tomas,Home
2016,Best Screenplay (Millor Guió),"Barcelona, noche de invierno",Eduard Sola,FALSE,Millor Guió,Eduard,Home
2016,Best Screenplay (Millor Guió),"Barcelona, noche de invierno",Daniel González,FALSE,Millor Guió,Daniel,Home
2016,Best Screenplay (Millor Guió),"Barcelona, noche de invierno",Eric Navarro,FALSE,Millor Guió,Eric,Home
2016,Best Screenplay (Millor Guió),El camino más largo para volver a casa,Sergi Pérez,FALSE,Millor Guió,Sergi,Home
2016,Best Screenplay (Millor Guió),El camino más largo para volver a casa,Eric Navarro,FALSE,Millor Guió,Eric,Home
2016,Best Screenplay (Millor Guió),El camino más largo para volver a casa,Roger Padilla,FALSE,Millor Guió,Roger,Home
2016,Best Screenplay (Millor Guió),El rey de La Habana,Agustí Villaronga,FALSE,Millor Guió,Agusti,Home
2016,Best Short Film (Millor Curtmetratge),El adiós,Clara Roquet,TRUE,Millor Curtmetratge,Clara,Dona
2018,Best Documentary (Millor Pel·lícula Documental),La Chana,Lucija Stojevic,TRUE,Millor Pel·lícula Documental,Lucija,Dona
2016,Best Short Film (Millor Curtmetratge),Nada S.A.,Albert Pintó,FALSE,Millor Curtmetratge,Albert,Home
2016,Best Short Film (Millor Curtmetratge),No me quites,Laura Jou,FALSE,Millor Curtmetratge,Laura,Dona
2016,Best Short Film (Millor Curtmetratge),Zero,David Victori,FALSE,Millor Curtmetratge,David,Home
2016,Best Sound (Millor So),Anacleto: Agente secreto,Oriol Tarragó,TRUE,Millor So,Oriol,Home
2016,Best Sound (Millor So),Anacleto: Agente secreto,Sergio Bürmann,TRUE,Millor So,Sergio,Home
2016,Best Sound (Millor So),Anacleto: Agente secreto,Marc Orts,TRUE,Millor So,Marc,Home
2016,Best Sound (Millor So),Atrapa la bandera,Oriol Tarragó,FALSE,Millor So,Oriol,Home
2016,Best Sound (Millor So),Atrapa la bandera,Marc Orts,FALSE,Millor So,Marc,Home
2016,Best Sound (Millor So),El rey de La Habana,Fernando Novillo,FALSE,Millor So,Fernando,Home
2013,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),[Rec]³: Génesis,Luiso Berdejo,FALSE,Millor Pel·lícula en llengua no catalana,Luiso,Home
2016,Best Sound (Millor So),El rey de La Habana,Ricardo Galcerán,FALSE,Millor So,Ricardo,Home
2016,Best Sound (Millor So),Truman,Jesica Suarez,FALSE,Millor So,Jesica,Dona
2016,Best Sound (Millor So),Truman,Albert Gay,FALSE,Millor So,Albert,Home
2016,Best TV-Movie (Millor Pel·lícula per a Televisió),13 dies d'octubre,Carlos Marques-Marcet,TRUE,Millor Pel·lícula per a Televisió,Carlos,Home
2016,Best TV-Movie (Millor Pel·lícula per a Televisió),13 dies d'octubre,Alfred Pérez Fargas,TRUE,Millor Pel·lícula per a Televisió,Alfred,Home
2016,Best TV-Movie (Millor Pel·lícula per a Televisió),13 dies d'octubre,Roger Danès,TRUE,Millor Pel·lícula per a Televisió,Roger,Home
2016,Best TV-Movie (Millor Pel·lícula per a Televisió),El café de la Marina,Silvia Munt,FALSE,Millor Pel·lícula per a Televisió,Silvia,Dona
2016,Best TV-Movie (Millor Pel·lícula per a Televisió),El café de la Marina,Mercè Sàrrias,FALSE,Millor Pel·lícula per a Televisió,Merce,Dona
2016,Best TV-Movie (Millor Pel·lícula per a Televisió),El mètode Grönholm,Enric Folch,FALSE,Millor Pel·lícula per a Televisió,Enric,Home
2016,Best TV-Movie (Millor Pel·lícula per a Televisió),El mètode Grönholm,Jordi Galceran,FALSE,Millor Pel·lícula per a Televisió,Jordi,Home
2016,Best TV-Movie (Millor Pel·lícula per a Televisió),Les nenes no haurien de jugar al futbol,Sònia Sánchez,FALSE,Millor Pel·lícula per a Televisió,Sonia,Dona
2016,Best TV-Movie (Millor Pel·lícula per a Televisió),Les nenes no haurien de jugar al futbol,Marta Buchaca,FALSE,Millor Pel·lícula per a Televisió,Marta,Dona
2016,Best Visual Effects (Millors Efectes Visuals),Anacleto: Agente secreto,Lluís Castells,TRUE,Millors Efectes Visuals,Lluis,Home
2016,Best Visual Effects (Millors Efectes Visuals),Anacleto: Agente secreto,Lluís Rivera,TRUE,Millors Efectes Visuals,Lluis,Home
2016,Best Visual Effects (Millors Efectes Visuals),El rey de La Habana,Bernat Aragonés,FALSE,Millors Efectes Visuals,Bernat,Home
2016,Best Visual Effects (Millors Efectes Visuals),El rey de La Habana,Lluís Rivera,FALSE,Millors Efectes Visuals,Lluis,Home
2016,Best Visual Effects (Millors Efectes Visuals),Nadie quiere la noche,Bernat Aragonés,FALSE,Millors Efectes Visuals,Bernat,Home
2016,Best Visual Effects (Millors Efectes Visuals),Palmeras en la nieve,Àlex Villagrasa,FALSE,Millors Efectes Visuals,Alex,Home
2016,Best Visual Effects (Millors Efectes Visuals),Palmeras en la nieve,Raúl Romanillos,FALSE,Millors Efectes Visuals,Raul,Home
2017,Best Animated Feature (Millor Pel·lícula d'Animació),Ozzy,Alberto Rodríguez,TRUE,Millor Pel·lícula d'Animació,Alberto,Home
2017,Best Animated Feature (Millor Pel·lícula d'Animació),Ozzy,Nacho La Casa,TRUE,Millor Pel·lícula d'Animació,Nacho,Home
2017,Best Animated Feature (Millor Pel·lícula d'Animació),Ozzy,Juan Ramón Ruiz de Somavía,TRUE,Millor Pel·lícula d'Animació,Juan,Home
2017,Best Cinematography (Millor Fotografia),Un monstruo viene a verme,Oscar Faura,TRUE,Millor Fotografia,Oscar,Home
2017,Best Cinematography (Millor Fotografia),La mort de Louis XIV,Jonathan Ricquebourg,FALSE,Millor Fotografia,Jonathan,Home
2017,Best Cinematography (Millor Fotografia),La próxima piel,Diego Dussuel,FALSE,Millor Fotografia,Diego,Home
2017,Best Cinematography (Millor Fotografia),Tarde para la ira,Arnau Valls Colomer,FALSE,Millor Fotografia,Arnau,Home
2017,Best Costume Design (Millor Vestuari),La mort de Louis XIV,Nina Avramovic,TRUE,Millor Vestuari,Nina,Dona
2017,Best Costume Design (Millor Vestuari),El elegido,Mercè Paloma,FALSE,Millor Vestuari,Merce,Dona
2017,Best Costume Design (Millor Vestuari),Gernika,Ariadna Papió,FALSE,Millor Vestuari,Ariadna,Dona
2017,Best Costume Design (Millor Vestuari),Un monstruo viene a verme,Steven Noble,FALSE,Millor Vestuari,Steven,Home
2017,Best Documentary (Millor Pel·lícula Documental),Alcaldessa,Pau Faus,TRUE,Millor Pel·lícula Documental,Pau,Home
2017,Best Documentary (Millor Pel·lícula Documental),Alcaldessa,Ventura Durall,TRUE,Millor Pel·lícula Documental,Ventura,Home
2020,Best Original Score (Millor Música Original),Quien a hierro mata,Maika Makovski,FALSE,Millor Música Original,Maika,Dona
2017,Best Documentary (Millor Pel·lícula Documental),Bigas x Bigas,Carmen Chaves Gastaldo,FALSE,Millor Pel·lícula Documental,Carmen,Dona
2017,Best Documentary (Millor Pel·lícula Documental),Priorat,David Fernández de Castro,FALSE,Millor Pel·lícula Documental,David,Home
2015,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),[REC] 4: Apocalipsis,Manu Díaz,FALSE,Millor Pel·lícula en llengua no catalana,Manu,Home
2017,Best Documentary (Millor Pel·lícula Documental),Priorat,Toni Orensanz,FALSE,Millor Pel·lícula Documental,Toni,Home
2015,Best Film Editing (Millor Muntatge),El Niño,Mapa Pastor,TRUE,Millor Muntatge,Mapa,Dona
2017,Best Documentary (Millor Pel·lícula Documental),"Sexo, maracas y chihuahuas",Diego Mas Trelles,FALSE,Millor Pel·lícula Documental,Diego,Home
2017,Best European Film (Millor Pel·lícula Europea),Elle,Paul Verhoeven,TRUE,Millor Pel·lícula Europea,Paul,Home
2017,Best European Film (Millor Pel·lícula Europea),Elle,David Birke,TRUE,Millor Pel·lícula Europea,David,Home
2018,Best Original Score (Millor Música Original),Incierta gloria,Marcús Jgr,FALSE,Millor Música Original,Marcus,Home
2017,Best European Film (Millor Pel·lícula Europea),El hijo de Saúl,Clara Royer,FALSE,Millor Pel·lícula Europea,Clara,Dona
2017,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),Un monstruo viene a verme,Marese Langan,FALSE,Millor Maquillatge i Perruqueria,Marese,Dona
2014,Best European Film (Millor Pel·lícula Europea),Hannah Arendt,Margarethe von Trotta,FALSE,Millor Pel·lícula Europea,Margarethe,Dona
2017,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),La mort de Louis XIV,Marion Vissac,TRUE,Millor Maquillatge i Perruqueria,Marion,Dona
2017,Best Female Lead (Millor Protagonista Femenina),La próxima piel,Emma Suárez,TRUE,Millor Protagonista Femenina,Emma,Dona
2017,Best Female Lead (Millor Protagonista Femenina),Cerca de tu casa,Sílvia Pérez Cruz,FALSE,Millor Protagonista Femenina,Silvia,Dona
2010,Best Art Direction (Millor Direcció Artística),Negro Buenos Aires,Maruxa Alvar,FALSE,Millor Direcció Artística,Maruxa,Home
2017,Best Female Lead (Millor Protagonista Femenina),El rey tuerto,Ruth Llopis,FALSE,Millor Protagonista Femenina,Ruth,Dona
2010,Best Production Manager (Millor direcció de producció),Petit indi,Mat Troi Day,FALSE,Millor Direcció de Producció,Mat,Home
2016,Best European Film (Millor Pel·lícula Europea),Pride,Matthew Warchus,FALSE,Millor Pel·lícula Europea,Matthew,Home
2017,Best Film (Millor Pel·lícula),La próxima piel,Fran Araújo,TRUE,Millor Pel·lícula,Fran,Home
2017,Best Film (Millor Pel·lícula),El rey tuerto,Marc Crehuet,FALSE,Millor Pel·lícula,Marc,Home
2017,Best Film (Millor Pel·lícula),Las amigas de Àgata,Laia Alabart,FALSE,Millor Pel·lícula,Laia,Dona
2017,Best Film (Millor Pel·lícula),Las amigas de Àgata,Alba Cros,FALSE,Millor Pel·lícula,Alba,Dona
2017,Best Film (Millor Pel·lícula),Las amigas de Àgata,Laura Rius,FALSE,Millor Pel·lícula,Laura,Dona
2017,Best Film (Millor Pel·lícula),Las amigas de Àgata,Marta Verheyen,FALSE,Millor Pel·lícula,Marta,Dona
2017,Best Film (Millor Pel·lícula),Todos los caminos de Dios,Gemma Ferraté,FALSE,Millor Pel·lícula,Gemma,Dona
2017,Best Film (Millor Pel·lícula),Todos los caminos de Dios,Eduard Sola,FALSE,Millor Pel·lícula,Eduard,Home
2017,Best Film Editing (Millor Muntatge),Un monstruo viene a verme,Jaume Martí,TRUE,Millor Muntatge,Jaume,Home
2017,Best Film Editing (Millor Muntatge),Un monstruo viene a verme,Bernat Vilaplana,TRUE,Millor Muntatge,Bernat,Home
2017,Best Film Editing (Millor Muntatge),Contratiempo,Jaume Martí,FALSE,Millor Muntatge,Jaume,Home
2017,Best Film Editing (Millor Muntatge),La mort de Louis XIV,Albert Serra,FALSE,Millor Muntatge,Albert,Home
2017,Best Film Editing (Millor Muntatge),La mort de Louis XIV,Artur Tort,FALSE,Millor Muntatge,Artur,Home
2017,Best Film Editing (Millor Muntatge),La mort de Louis XIV,Ariadna Ribas,FALSE,Millor Muntatge,Ariadna,Dona
2015,Best Production Manager (Millor Direcció de Producció),10.000 Km,Mayca Sanz,FALSE,Millor Direcció de Producció,Mayca,Dona
2020,Best Production Manager (Millor Direcció de Producció),Los días que vendrán,Mayca Sanz,FALSE,Millor Direcció de Producció,Mayca,Dona
2014,Best Art Direction (Millor Direcció Artística),Historia de mi muerte,Mihnea Mihailescu,FALSE,Millor Direcció Artística,Mihnea,Home
2017,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),100 metros,Patricia Reyes,FALSE,Millor Maquillatge i Perruqueria,Patricia,Dona
2017,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),100 metros,Alba Guillén,FALSE,Millor Maquillatge i Perruqueria,Alba,Dona
2017,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),La próxima piel,Miriam Blank,FALSE,Millor Maquillatge i Perruqueria,Miriam,Dona
2017,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),La próxima piel,Laura Pellicciotta,FALSE,Millor Maquillatge i Perruqueria,Laura,Dona
2012,Best Sound (Millor So),Bruc: El desafío,Mike Dowson,FALSE,Millor So,Mike,Home
2017,Best Male Lead (Millor Protagonista Masculí),El hombre de las mil caras,Eduard Fernández,TRUE,Millor Protagonista Masculí,Eduard,Home
2009,Best European Film (Millor Pel·lícula Europea),"Happy, un cuento sobre la felicidad",Mike Leigh,FALSE,Millor Pel·lícula Europea,Mike,Home
2017,Best Male Lead (Millor Protagonista Masculí),El rey tuerto,Alain Hernández,FALSE,Millor Protagonista Masculí,Alain,Home
2017,Best Male Lead (Millor Protagonista Masculí),La próxima piel,Àlex Monner,FALSE,Millor Protagonista Masculí,Alex,Home
2017,Best Male Lead (Millor Protagonista Masculí),El rey tuerto,Miki Esparbé,FALSE,Millor Protagonista Masculí,Miki,Home
2017,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Un monstruo viene a verme,Patrick Ness,TRUE,Millor Pel·lícula en llengua no catalana,Patrick,Home
2017,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),100 metros,Marcel Barrena,FALSE,Millor Pel·lícula en llengua no catalana,Marcel,Home
2017,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Callback,Carles Torras,FALSE,Millor Pel·lícula en llengua no catalana,Carles,Home
2017,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Callback,Martin Bacigalupo,FALSE,Millor Pel·lícula en llengua no catalana,Martin,Home
2017,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),La mort de Louis XIV,Albert Serra,FALSE,Millor Pel·lícula en llengua no catalana,Albert,Home
2019,Best Supporting Actor (Millor Actor Secundari),Las distancias,Miki Esparbé,FALSE,Millor Actor Secundari,Miki,Home
2017,Best Original Score (Millor Música Original),Cerca de tu casa,Sílvia Pérez Cruz,TRUE,Millor Música Original,Silvia,Dona
2017,Best Original Score (Millor Música Original),El elegido,Arnau Bataller,FALSE,Millor Música Original,Arnau,Home
2017,Best Original Score (Millor Música Original),La próxima piel,Gerard Gil,FALSE,Millor Música Original,Gerard,Home
2017,Best Original Score (Millor Música Original),Un monstruo viene a verme,Fernando Velázquez,FALSE,Millor Música Original,Fernando,Home
2017,Best Production Design (Millor Direcció Artística),Un monstruo viene a verme,Eugenio Caballero,TRUE,Millor Direcció Artística,Eugenio,Home
2017,Best Production Design (Millor Direcció Artística),El rey tuerto,Sylvia Steinbrecht,FALSE,Millor Direcció Artística,Sylvia,Dona
2017,Best Production Design (Millor Direcció Artística),La mort de Louis XIV,Sebastián Vogler,FALSE,Millor Direcció Artística,Sebastian,Home
2017,Best Production Design (Millor Direcció Artística),La próxima piel,Roger Bellés,FALSE,Millor Direcció Artística,Roger,Home
2017,Best Production Manager (Millor Direcció de Producció),Un monstruo viene a verme,Sandra Hermida,TRUE,Millor Direcció de Producció,Sandra,Dona
2017,Best Production Manager (Millor Direcció de Producció),100 metros,Teresa Gefaell,FALSE,Millor Direcció de Producció,Teresa,Dona
2017,Best Production Manager (Millor Direcció de Producció),100 metros,Alberto Álvarez,FALSE,Millor Direcció de Producció,Alberto,Home
2017,Best Production Manager (Millor Direcció de Producció),La próxima piel,Xavier Resina,FALSE,Millor Direcció de Producció,Xavier,Home
2017,Best Production Manager (Millor Direcció de Producció),Toro,Toni Carrizosa,FALSE,Millor Direcció de Producció,Toni,Home
2010,Best Performance by an Actress in a Leading Role (Millor Interpretació Femenina Principal),Tres dies amb la família,Nausicaa Bonnín,TRUE,Millor Protagonista Femenina,Nausicaa,Dona
2013,Best Animated Feature (Millor Pel·lícula d'Animació),Las aventuras de Tadeo Jones,Neil Landau,TRUE,Millor Pel·lícula d'Animació,Neil,Home
2017,Best Screenplay (Millor Guió),La próxima piel,Fran Araújo,TRUE,Millor Guió,Fran,Home
2017,Best Screenplay (Millor Guió),100 metros,Marcel Barrena,FALSE,Millor Guió,Marcel,Home
2017,Best Screenplay (Millor Guió),Callback,Carles Torras,FALSE,Millor Guió,Carles,Home
2017,Best Screenplay (Millor Guió),Callback,Martin Bacigalupo,FALSE,Millor Guió,Martin,Home
